ID,Variable 1,Dependency,Variable 2
1,TacticType_AT,->,AiM_AoW_tactic_AT
2,TacticType_HT,->,AiM_AoW_tactic_HT
3,TacticType_AT,->,CA_tactic_AT
4,TacticType_HT,->,CA_tactic_HT
5,TacticType_AT,->,Creatively_tactic_AT
6,TacticType_HT,->,Creatively_tactic_HT
7,CA_tactic_AT,->,Event_CA_AT
8,Event_SEZ_TechCA_AT,->,Event_CA_AT
9,Normal_chances_missed_HT,->,Event_CA_AT
10,PSE_unpred_chances_missed_HT,->,Event_CA_AT
11,TacticSkill_AT,->,Event_CA_AT
12,Event_CA_AT,->,Event_CA_ChanceDFK_AT
13,Event_CA_ChanceDFK_AT,->,Event_CA_ChanceDFK_Goal_AT
14,Score_ISP_AT,->,Event_CA_ChanceDFK_Goal_AT
15,Event_CA_ChanceDFK_HT,->,Event_CA_ChanceDFK_Goal_HT
16,Score_ISP_HT,->,Event_CA_ChanceDFK_Goal_HT
17,Event_CA_HT,->,Event_CA_ChanceDFK_HT
18,Event_CA_AT,->,Event_CA_ChanceIFK_AT
19,Event_CA_ChanceIFK_AT,->,Event_CA_ChanceIFK_Goal_AT
20,Score_ISP_AT,->,Event_CA_ChanceIFK_Goal_AT
21,Event_CA_ChanceIFK_HT,->,Event_CA_ChanceIFK_Goal_HT
22,Score_ISP_HT,->,Event_CA_ChanceIFK_Goal_HT
23,Event_CA_HT,->,Event_CA_ChanceIFK_HT
24,Event_CA_ChanceDFK_Goal_AT,->,Event_CA_ChanceISP_Goal_AT
25,Event_CA_ChanceIFK_Goal_AT,->,Event_CA_ChanceISP_Goal_AT
26,Event_CA_ChanceDFK_Goal_HT,->,Event_CA_ChanceISP_Goal_HT
27,Event_CA_ChanceIFK_Goal_HT,->,Event_CA_ChanceISP_Goal_HT
28,Event_CA_ChanceLeft_Goal_AT,->,Event_CA_ChanceLMR_Goal_AT
29,Event_CA_ChanceMid_Goal_AT,->,Event_CA_ChanceLMR_Goal_AT
30,Event_CA_ChanceRight_Goal_AT,->,Event_CA_ChanceLMR_Goal_AT
31,Event_CA_ChanceLeft_Goal_HT,->,Event_CA_ChanceLMR_Goal_HT
32,Event_CA_ChanceMid_Goal_HT,->,Event_CA_ChanceLMR_Goal_HT
33,Event_CA_ChanceRight_Goal_HT,->,Event_CA_ChanceLMR_Goal_HT
34,Event_CA_AT,->,Event_CA_ChanceLeft_AT
35,TacticSkill_AT,->,Event_CA_ChanceLeft_AT
36,Event_CA_ChanceLeft_AT,->,Event_CA_ChanceLeft_Goal_AT
37,Score_left_AT,->,Event_CA_ChanceLeft_Goal_AT
